year,pm25,pm10,no2,so2,o3,co,notes,vehicles_millions
2000,,,,7.815,,,,
2001,,,,7.426,,,,
2002,,,,7.333,,,,
2003,,,,6.735,,,,
2004,,,,7.283,,,,
2005,,,,7.104,,,,2.1
2006,,,,7.365,,,,2.4
2007,,,,7.156,,,,2.7
2008,,,,6.549,,,,3.1
2009,,,,6.995,,,,3.4
2010,,,,6.995,,,,3.8
2011,,,,6.378,,,,4.3
2012,,148.00,30.20,14.500,,,,4.9
2013,,128.00,28.50,13.500,,,,5.4
2014,,165.00,31.80,11.200,,,,5.9
2015,,117.65,22.97,4.050,,,,6.4
2016,,107.00,34.20,2.100,,,,7.0
2017,43.100000,87.10,31.50,2.300,,,,7.6
2018,47.600000,71.88,19.98,9.080,,,pm10 interpolated,8.1
2019,24.620000,56.66,24.24,5.860,31.18,296.62,,8.6
2020,27.990000,65.37,20.24,7.060,31.95,351.42,,8.8
2021,36.050000,71.42,25.93,6.280,28.74,269.07,,9.1
2022,31.630000,71.46,19.28,7.590,22.76,239.68,,9.6
2023,29.266667,71.73,,6.648,,,pm25 interpolated - CPCB gap,10.1
2024,26.903333,72.00,,6.253,,,pm25 interpolated - CPCB gap,10.5
2025,24.540000,72.27,18.56,9.450,24.19,,,
